CZX,Changzhou Benniu Airport,China,119.778603,31.919720,197
DAB,Daytona Beach International Airport,United States,-81.060829,29.185192,34
DAC,Dhaka Shahjalal International Airport,Bangladesh,90.397781,23.843330,30
DAD,Da Nang International Airport,Vietnam,108.199303,16.043909,33
DAL,Dallas Love Field Airport,United States,-96.851700,32.847111,487
DAR,Dar-es-Salaam Julius Nyerere International Airport,Tanzania,39.202621,-6.878110,182
DAY,Dayton International Airport,United States,-84.219299,39.902370,1009
DBO,Dubbo City Airport,Australia,148.574707,-32.216599,935
DBV,Dubrovnik Airport,Croatia,18.268240,42.561352,527
DCA,Washington Ronald Reagan National Airport,United States,-77.037697,38.852081,14
DCM,Castres Mazamet Airport,France,2.290592,43.554958,787
DEB,Debrecen International Airport,Hungary,21.615330,47.488911,359
DEL,Delhi Indira Gandhi International Airport,India,77.103081,28.566500,777
DEN,Denver International Airport,United States,-104.672997,39.861649,5433
DFW,Dallas Fort Worth International Airport,United States,-97.037903,32.896820,607
DGO,Durango General Guadalupe Victoria International Airport,Mexico,-104.528000,24.124189,6104
DGT,Dumaguete City Sibulan Airport,Philippines,123.300400,9.333714,15
DIL,Dili Presidente Nicolau Lobato International Airport,Timor-Leste (East Timor),125.524803,-8.546410,25
DIY,Diyarbakır Airport,Turkey,40.201012,37.893890,2251
DJB,Jambi Sultan Thaha Airport,Indonesia,103.644302,-1.638010,82
DJE,Djerba Zarzis International Airport,Tunisia,10.775460,33.875031,19
DJJ,Jayapura Sentani Airport,Indonesia,140.516296,-2.576950,289
DKR,Dakar International Airport,Senegal,-17.490200,14.739700,85
DLA,Douala International Airport,Cameroon,9.719481,4.006081,33
DLC,Dalian Zhoushuizi International Airport,China,121.538597,38.965660,107
DLE,Dole Jura Airport,France,5.435000,47.042770,645
DLG,Dillingham Airport,United States,-158.505005,59.044659,82
DLH,Duluth International Airport,United States,-92.193604,46.842079,1427
DLM,Dalaman Airport,Turkey,28.792500,36.713051,20
DMB,Taraz Airport,Kazakhstan,71.303612,42.853611,2184
DME,Moscow Domodedovo International Airport,Russia,37.906311,55.408779,588
DMK,Bangkok Don Mueang International Airport,Thailand,100.606697,13.912500,9
DMM,Dammam King Fahd International Airport,Saudi Arabia,49.797890,26.471161,72
DND,Dundee Airport,United Kingdom,-3.025830,56.452492,17
DNK,Dnipropetrovsk International Airport,Ukraine,35.100552,48.357220,481
DNR,Saint-Malo Dinard Pleurtuit Airport,France,-2.080000,48.587769,219
DNZ,Denizli Cardak Airport,Turkey,29.701290,37.785561,2795
DOH,Doha Hamad International Airport,Qatar,51.608055,25.273056,13
DOK,Donetsk Sergey Prokofiev International Airport,Ukraine,37.739719,48.073608,791
DOL,Deauville Saint Gatien Airport,France,0.160000,49.363331,479
DOM,Dominica Melville Hall Airport,Dominica,-61.299999,15.547020,73
DOU,Dourados Airport,Brazil,-54.925556,-22.202778,1503
DPL,Dipolog Airport,Philippines,123.334442,8.601389,12
DPO,Devonport Airport,Australia,146.430283,-41.169724,33
DPS,Denpasar International Airport,Indonesia,115.167099,-8.748160,14
DRO,Durango La Plata County Airport,United States,-107.752998,37.151508,6685
DRS,Dresden Airport,Germany,13.767160,51.132759,755
DRV,Dharavandhoo Airport,Maldives,73.129997,5.150000,6
DRW,Darwin International Airport,Australia,130.876663,-12.414700,103
DSA,Doncaster Sheffield Robin Hood Airport,United Kingdom,-1.004440,53.474720,55
DSM,Des Moines International Airport,United States,-93.663002,41.533970,958
DTM,Dortmund Airport,Germany,7.612242,51.518311,425
DTW,Detroit Metropolitan Wayne County Airport,United States,-83.353302,42.212440,645
DUB,Dublin Airport,Ireland,-6.270000,53.421379,242
DUD,Dunedin International Airport,New Zealand,170.198303,-45.928001,4
DUR,Durban King Shaka International Airport,South Africa,31.108334,-29.616667,304
DUS,Dusseldorf International Airport,Germany,6.766775,51.289452,147
DUT,Unalaska Airport,United States,-166.542999,53.900131,22
DVO,Davao City Francisco Bangoy International Airport,Philippines,125.645699,7.125522,96
DWC,Dubai World Central International Airport,United Arab Emirates,55.172222,24.886110,14764
DXB,Dubai International Airport,United Arab Emirates,55.364441,25.252769,62
DYR,Anadyr Ugolny Airport,Russia,177.740005,64.730003,194
DYU,Dushanbe International Airport,Tajikistan,68.824997,38.543331,2575
DZA,Dzaoudzi Pamandzi International Airport,Mayotte,45.280548,-12.806600,23
EAS,San Sebastian Airport,Spain,-1.790610,43.356510,15
EBA,Elba Marina di Campo Airport,Italy,10.239440,42.760269,31
